"Player,Pos,Dist.,3P"
"Ben Simmons\simmobe01,PG,4.3,.021"
"Anfernee Simons\simonan01,SG,20.9,.708"
"Deividas Sirvydis\sirvyde01,SG,24.6,1.000"
"Alen Smailagi_\smailal01,PF,17.0,.571"
"Marcus Smart\smartma01,PG,17.8,.544"
"Dennis Smith Jr.\smithde03,PG,15.6,.398"
"Ish Smith\smithis01,PG,12.3,.172"
"Jalen Smith\smithja04,PF,12.3,.429"
"Tony Snell\snellto01,SG,19.4,.689"
"Ray Spalding\spaldra01,C,8.0,.250"
"Cassius Stanley\stanlca01,SG,11.1,.333"
"Lamar Stevens\stevela01,PF,10.4,.171"
"Isaiah Stewart\stewais01,C,5.7,.083"
"Max Strus\strusma01,SF,21.0,.803"
"Edmond Sumner\sumneed01,SG,12.2,.390"
"Jae'Sean Tate\tateja01,SF,9.6,.291"
"Jayson Tatum\tatumja01,SF,14.6,.355"
"Jeff Teague\teaguje01,PG,13.3,.298"
"Garrett Temple\templga01,SG,16.2,.519"
"Tyrell Terry\terryty01,PG,14.6,.438"
"Daniel Theis\theisda01,C,12.9,.330"
"Brodric Thomas\thomabr01,SG,17.3,.526"
"Matt Thomas\thomama02,SG,21.1,.662"
"Tristan Thompson\thomptr01,PF,4.8,.013"
"Sindarius Thornwell\thornsi01,SG,14.0,.429"
"Matisse Thybulle\thybuma01,SG,16.7,.613"
"Killian Tillie\tilliki02,C,16.5,.600"
"Xavier Tillman Sr.\tillmxa01,PF,9.3,.214"
"Obi Toppin\toppiob01,PF,12.3,.378"
"Juan Toscano-Anderson\toscaju01,SG,12.1,.417"
"Axel Toupane\toupaax01,G-F,10.2,.167"
"Karl-Anthony Towns\townska01,C,12.4,.338"
"Gary Trent Jr.\trentga02,SG,19.2,.578"
"P.J. Tucker\tuckepj01,PF,17.1,.667"
"Rayjon Tucker\tuckera01,F,27.0,1.000"
"Myles Turner\turnemy01,C,14.2,.475"
"Jonas Valan_i_nas\valanjo01,C,6.2,.084"
"Denzel Valentine\valende01,SG,19.0,.586"
"Jarred Vanderbilt\vandeja01,PF,2.6,.025"
"Fred VanVleet\vanvlfr01,SG,18.2,.546"
"Devin Vassell\vassede01,SF,17.3,.509"
"Gabe Vincent\vincega01,PG,18.2,.636"
"Noah Vonleh\vonleno01,PF,18.7,.667"
"Nikola Vu_evi_\vucevni01,C,14.9,.316"
"Dean Wade\wadede01,PF,18.3,.657"
"Moritz Wagner\wagnemo01,C,11.8,.349"
"Kemba Walker\walkeke02,PG,18.3,.516"
"Lonnie Walker\walkelo01,SG,15.9,.459"
"John Wall\walljo01,PG,14.1,.339"
"Brad Wanamaker\wanambr01,PG,13.9,.353"
"T.J. Warren\warretj01,SF,10.7,.137"
"P.J. Washington\washipj01,PF,12.3,.370"
"Yuta Watanabe\watanyu01,SF,15.4,.522"
"Tremont Waters\watertr01,PG,17.8,.484"
"Paul Watson\watsopa01,SF,20.5,.800"
"Quinndary Weatherspoon\weathqu01,SG,11.8,.250"
"Russell Westbrook\westbru01,PG,13.1,.219"
"Coby White\whiteco01,PG,16.4,.475"
"Derrick White\whitede01,SG,16.8,.538"
"Hassan Whiteside\whiteha01,C,6.1,.006"
"Greg Whittington\whittgr01,PF,21.3,.667"
"Andrew Wiggins\wiggian01,PF,14.4,.353"
"Grant Williams\willigr01,PF,15.2,.513"
"Kenrich Williams\willike04,PF,11.3,.285"
"Lou Williams\willilo02,PG,14.4,.277"
"Patrick Williams\willipa01,PF,12.8,.283"
"Robert Williams\williro04,C,3.9,.005"
"Zion Williamson\willizi01,PF,3.2,.033"
"D.J. Wilson\wilsodj01,PF,19.0,.563"
"Dylan Windler\windldy01,SF,16.2,.592"
